,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons
89,"Jennifer Aniston, Jay Mohr, Kevin Bacon, Olympia Dukakis",N/A,N/A,USA,25 Feb 1998,Glenn Gordon Caron,"Comedy, Drama, Romance",English,44,"A young advertising executive's life becomes increasingly complicated when, in order to impress her boss, she pretends to be engaged to a man she has just met.",https://m.media-amazon.com/images/M/MV5BY2UwN2E0ZGItYmM3NC00ODVkLTkxOGItNGQ1NDMxMDdiMjQ0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,Twentieth Century Fox Home Entertainment,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",01 Aug 1997,True,105 min,Picture Perfect,movie,N/A,"Arleen Sorkin (story), Paul Slansky (story), May Quigley (story), Arleen Sorkin (screenplay), Paul Slansky (screenplay), Glenn Gordon Caron (screenplay)",1997,tt0119896,5.5,"17,756",
90,"Keanu Reeves, Al Pacino, Charlize Theron, Jeffrey Jones",1 win & 5 nominations.,N/A,"USA, Germany",16 Nov 1998,Taylor Hackford,"Drama, Mystery, Thriller","English, German, Italian, Mandarin, Spanish",60,An exceptionally adept Florida lawyer is offered a job at a high-end New York City law firm with a high-end boss - the biggest opportunity of his career to date.,https://m.media-amazon.com/images/M/MV5BM2M2MDJhMDgtMmJkYy00MTgzLTkyZTktODM5NzE1MWUyNDA4XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,Warner Home Video,R,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",17 Oct 1997,True,144 min,The Devil's Advocate,movie,N/A,"Andrew Neiderman (novel), Jonathan Lemkin (screenplay), Tony Gilroy (screenplay)",1997,tt0118971,7.5,"299,033",
91,"Jonathan Taylor Thomas, Devon Sawa, Scott Bairstow, Frances Fisher",1 win.,N/A,USA,21 Oct 1997,William Dear,"Action, Adventure, Comedy, Family",English,N/A,Three brothers who are obsessed with animals are given permission from their parents to travel around America with a camera documenting wildlife.,https://m.media-amazon.com/images/M/MV5BYmI0YjFiMDAtZTJiZC00NDQxLTkxNzEtZGNlNDUzZDA1MDM0XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,Warner Bros. Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}]",02 Jul 1997,True,106 min,Wild America,movie,N/A,David Michael Wieger,1997,tt0120512,6.3,"6,245",
92,"Ona Fletcher, Julia Ormond, Agga Olsen, Patrick Field",1 nomination.,N/A,"Denmark, Germany, Sweden",13 Mar 2001,Bille August,"Action, Drama, Mystery, Sci-Fi, Thriller","English, Inuktitut",45,"A 6 y.o. Inuit boy runs off a snowy roof in Copenhagen and dies. Smilla, a half Inuit who lives in the building and knows the boy, looks into it. What makes an acrophobic boy run up on the roof? The clues take her to Greenland.",https://m.media-amazon.com/images/M/MV5BM2FlOGNmNjItMGYwMC00NjMxLWJiZGUtZTI4MGZmYTllM2JkXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,Fox Searchlight Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",28 Feb 1997,True,121 min,Smilla's Sense of Snow,movie,N/A,"Peter Høeg (novel), Ann Biderman (screenplay)",1997,tt0120152,6.4,"12,738",
93,"Colm Meaney, Mykelti Williamson, Nick Chinlund, Renoly Santiago",Nominated for 2 Oscars. Another 7 wins & 9 nominations.,N/A,USA,24 Mar 1998,Simon West,"Action, Crime, Thriller","English, Spanish",52,Newly paroled ex-con and former U.S. Ranger Cameron Poe finds himself trapped in a prisoner transport plane when the passengers seize control.,https://m.media-amazon.com/images/M/MV5BMGZmNGIxMTYtMmVjMy00YzhkLWIyOTktNTExZGFiYjNiNzdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Disney,R,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",06 Jun 1997,True,115 min,Con Air,movie,N/A,Scott Rosenberg,1997,tt0118880,6.8,"255,216",
94,"Katrin Cartlidge, Lynda Steadman, Kate Byers, Mark Benton",3 wins & 5 nominations.,N/A,"UK, France",29 Apr 1998,Mike Leigh,Drama,English,76,"2 young women reunite and rekindle their friendship after having said goodbye at their college graduation, six years earlier.",https://m.media-amazon.com/images/M/MV5BMTgyNzY0NDUwNV5BMl5BanBnXkFtZTcwMTMyMzAzMQ@@._V1_SX300.jpg,Twentieth Century Fox Home Entertainment,R,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",08 Aug 1997,True,83 min,Career Girls,movie,N/A,Mike Leigh,1997,tt0118818,7.2,"4,604",
95,"Michèle Laroque, Jean-Philippe Écoffey, Hélène Vincent, Georges Du Fresne",Won 1 Golden Globe. Another 12 wins & 7 nominations.,N/A,"Belgium, France, UK",09 Nov 1999,Alain Berliner,Drama,French,N/A,Ludovic is a transgender girl who is coming out. She talks of marrying her neighbor's son and can not understand why everyone is so surprised about it. Her family and neighbors struggle ...,https://m.media-amazon.com/images/M/MV5BMTY3ODY1MTkxN15BMl5BanBnXkFtZTYwNjQwMjI5._V1_SX300.jpg,Sony Pictures Home Entertainment,R,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}]",26 Dec 1997,True,88 min,Ma Vie en Rose,movie,N/A,"Alain Berliner, Chris Vander Stappen",1997,tt0119590,7.6,"7,990",
96,"János Gálvölgyi, Sándor Almási, Anita Tóth, Gábor Reviczky",1 win.,N/A,Hungary,N/A,Péter Tímár,"Comedy, Musical",Hungarian,N/A,"1962-ben, amikor Gagarin urrepult es csaknem kitort a harmadik vilaghaboru, nalunk mar jo ideje nem tortent semmi es ugy nezett ki, hogy meg vagy harminc evig nem is fog. De, hogy ...",https://m.media-amazon.com/images/M/MV5BMjhjM2IyZjctNmU4OS00NTExLTgxYTMtMWQyNmNmNzdhODg5XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",20 Feb 1997,True,100 min,Csinibaba,movie,N/A,"Gyula Márton (novel), Péter Tímár",1997,tt0118906,7.5,"1,663",
97,"Eduardo Noriega, Penélope Cruz, Chete Lera, Fele Martínez",5 wins & 11 nominations.,N/A,"Spain, France, Italy",18 Dec 2001,Alejandro Amenábar,"Drama, Mystery, Romance, Sci-Fi, Thriller",Spanish,N/A,"A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured.",https://m.media-amazon.com/images/M/MV5BM2MxNDkwNWItNDFiMS00YTNlLWJjM2EtMDA0ZjY0OGFiYmIzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Artisan Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}]",19 Dec 1997,True,117 min,Open Your Eyes,movie,N/A,"Alejandro Amenábar, Mateo Gil",1997,tt0125659,7.8,"59,247",
98,"Tommy Lee Jones, Anne Heche, Gaby Hoffmann, Don Cheadle",1 win & 1 nomination.,N/A,USA,18 Dec 2001,Mick Jackson,"Action, Drama, Sci-Fi, Thriller","English, Spanish, German",55,"A volcano erupts in downtown Los Angeles, threatening to destroy the city.",https://m.media-amazon.com/images/M/MV5BY2I2MTFiOWMtY2YzOC00MTZjLTg0NWUtMmZjZWJlZDYwZDZkXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,Twentieth Century Fox Home Entertainment,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",25 Apr 1997,True,104 min,Volcano,movie,N/A,"Jerome Armstrong (story), Jerome Armstrong (screenplay), Billy Ray (screenplay)",1997,tt0120461,5.5,"66,682",
99,"Morgan Freeman, Ashley Judd, Cary Elwes, Alex McArthur",5 nominations.,N/A,USA,06 Oct 1998,Gary Fleder,"Crime, Drama, Mystery, Thriller","English, Mandarin",46,Police hunting for a serial kidnapper are helped when a victim manages to escape for the first time.,https://m.media-amazon.com/images/M/MV5BMjE2MWE1ZDYtNjNkYS00YjZmLWJkZjctOTYzYTVjMDFiN2M5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Paramount Home Video,R,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",03 Oct 1997,True,115 min,Kiss the Girls,movie,N/A,"James Patterson (novel), David Klass (screenplay)",1997,tt0119468,6.6,"58,591",
100,"Arnold Schwarzenegger, George Clooney, Chris O'Donnell, Uma Thurman",10 wins & 21 nominations.,N/A,"USA, UK",21 Oct 1997,Joel Schumacher,"Action, Sci-Fi",English,28,Batman and Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.,https://m.media-amazon.com/images/M/MV5BMGQ5YTM1NmMtYmIxYy00N2VmLWJhZTYtN2EwYTY3MWFhOTczXkEyXkFqcGdeQXVyNTA2NTI0MTY@._V1_SX300.jpg,Warner Home Video,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '3.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '10%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",20 Jun 1997,True,125 min,Batman & Robin,movie,N/A,"Bob Kane (Batman characters), Akiva Goldsman",1997,tt0118688,3.7,"215,658",
101,"Sigourney Weaver, Sam Neill, Gil Bellows, Taryn Davis",Nominated for 3 Primetime Emmys. Another 4 nominations.,N/A,USA,11 Jan 2000,Michael Cohn,"Fantasy, Horror",English,N/A,"In this dark take on the fairy tale, the growing hatred of a noblewoman, secretly a practitioner of the dark arts, for her stepdaughter, and the witch's horrifying attempts to kill her.",https://m.media-amazon.com/images/M/MV5BMzE0MTk2OGYtMmM5ZC00MGQ4LTk1MGYtZTQ4Y2MzN2M4MzE4XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Universal Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}]",09 May 1997,True,100 min,Snow White: A Tale of Terror,movie,N/A,"Tom Szollosi (screenplay), Deborah Serra (screenplay), Jacob Grimm (story), Wilhelm Grimm (story)",1997,tt0119227,6.3,"9,206",
102,"Tim Allen, Martin Short, JoBeth Williams, Lolita Davidovich",3 nominations.,N/A,"USA, France",08 Oct 2002,John Pasquin,"Comedy, Family",English,42,"A man learns he has a thirteen-year-old son who was raised in the jungle and brings the boy to New York City, turning his life upside down in the process.",https://m.media-amazon.com/images/M/MV5BM2Q4MjNjNmYtOGYyZS00OGUzLWI4OTQtZjI0NmFiZTUyZDAwXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,Walt Disney Productions,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",07 Mar 1997,True,105 min,Jungle 2 Jungle,movie,N/A,"Hervé Palud (earlier screenplay Un indien dans la ville), Thierry Lhermitte (earlier screenplay Un indien dans la ville), Jean-Marie Pallardy (earlier screenplay Un indien dans la ville), Philippe Bruneau (earlier screenplay Un indien dans la ville), Bruce A. Evans (screenplay), Raynold Gideon (screenplay)",1997,tt0119432,5.1,"20,972",
103,"Phyllida Law, Emma Thompson, Sheila Reid, Sandra Voe",5 wins & 9 nominations.,N/A,"UK, USA",30 Aug 2005,Alan Rickman,Drama,English,N/A,A recent widow who is determined to leave Scotland for Australia with her son gets an unexpected visit from her aging mother.,https://m.media-amazon.com/images/M/MV5BMzgzMTY5ODY3M15BMl5BanBnXkFtZTcwNjM1MDEzMQ@@._V1_SX300.jpg,Fine Line Features,R,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}]",24 Dec 1997,True,108 min,The Winter Guest,movie,N/A,"Sharman Macdonald (screenplay), Alan Rickman (screenplay), Sharman Macdonald (play)",1997,tt0120521,7.1,"3,082",
104,"Tate Donovan, Josh Keaton, Roger Bart, Danny DeVito",Nominated for 1 Oscar. Another 9 wins & 15 nominations.,N/A,USA,09 Nov 1999,"Ron Clements, John Musker","Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance","English, Spanish, Greek",74,The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.,https://m.media-amazon.com/images/M/MV5BZDcwYjEyNWItMGI1Mi00MjI1LWIyMDEtMTQ4YjhkNjM4NDU3XkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_SX300.jpg,Buena Vista Internationa,G,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",27 Jun 1997,True,93 min,Hercules,movie,N/A,"Ron Clements (animation screenplay by), John Musker (animation screenplay by), Don McEnery (animation screenplay by), Bob Shaw (animation screenplay by), Irene Mecchi (animation screenplay by), Kaan Kalyon (story), Kelly Wightman (story), Randy Cartwright (story), John Ramirez (story), Jeff Snow (story), Vance Gerry (story), Kirk Hanson (story), Tamara Lusher Stocker (story), Francis Glebas (story), Mark Kennedy (story), Bruce Morris (story), Don Dougherty (story), Thom Enriquez (story)",1997,tt0119282,7.3,"178,979",
105,"Glenn Close, Frances McDormand, Pauline Collins, Cate Blanchett",1 win & 6 nominations.,N/A,"Australia, USA",13 Mar 2001,Bruce Beresford,"Drama, History, War","English, Japanese, Dutch, Malay",48,A group of women who are imprisoned on the island of Sumatra by the Japanese during World War II use music as relieve their misery.,https://m.media-amazon.com/images/M/MV5BZWJhODI4NWQtOWFkMy00YTA4LWIyNTktZjMzYjA4OTlhMjk5XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,Twentieth Century Fox Home Entertainment,R,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",11 Apr 1997,True,122 min,Paradise Road,movie,N/A,"David Giles (story), Martin Meader (story), Bruce Beresford, Betty Jeffrey (diaries)",1997,tt0119859,6.8,"4,765",
106,"Brendan Fraser, Leslie Mann, Thomas Haden Church, Richard Roundtree",1 win & 3 nominations.,N/A,USA,02 Dec 1997,Sam Weisman,"Action, Adventure, Comedy, Family, Romance","English, Spanish",53,A man raised in the jungle by apes falls in love with a wealthy American heiress.,https://m.media-amazon.com/images/M/MV5BNTdiM2VjYjYtZjEwNS00ZWU5LWFkZGYtZGYxMDcwMzY1OTEzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTczNjQwOTY@._V1_SX300.jpg,Disney,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",16 Jul 1997,True,92 min,George of the Jungle,movie,N/A,"Jay Ward (characters), Dana Olsen (story), Dana Olsen (screenplay), Audrey Wells (screenplay)",1997,tt0119190,5.5,"64,799",
107,"John Cleese, Jamie Lee Curtis, Kevin Kline, Michael Palin",N/A,N/A,"UK, USA",20 Jan 1998,"Fred Schepisi, Robert Young",Comedy,English,62,Zookeepers struggle to deal with the policies of changing directors.,https://m.media-amazon.com/images/M/MV5BNzllMGM5ZjItZTlmZi00OGU5LTlmZWQtZWVkNDM2MjEzMzZhXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,MCA Universal Home Video,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",24 Jan 1997,True,93 min,Fierce Creatures,movie,N/A,"John Cleese, Iain Johnstone, Terry Jones (idea for ""The Fierce Animal Policy""), Michael Palin (idea for ""The Fierce Animal Policy"")",1997,tt0119115,6.4,"21,550",
108,"Megumi Ogata, Megumi Hayashibara, Yûko Miyamura, Kotono Mitsuishi",2 wins.,N/A,Japan,24 Sep 2002,"Hideaki Anno, Kazuya Tsurumaki","Animation, Action, Drama, Fantasy, Sci-Fi",Japanese,N/A,Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995).,https://m.media-amazon.com/images/M/MV5BOTFhODJjMzktNDhjMy00MmM4LWI5NWQtMDdhOGU1NzYxNzE1XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,N/A,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",01 Jun 2002,True,90 min,Neon Genesis Evangelion: The End of Evangelion,movie,N/A,Hideaki Anno (screenplay),1997,tt0169858,8.3,"25,329",
109,"Jim Carrey, Maura Tierney, Justin Cooper, Cary Elwes",Nominated for 1 Golden Globe. Another 4 wins & 5 nominations.,N/A,USA,20 Jan 1998,Tom Shadyac,"Comedy, Fantasy",English,70,A fast-track lawyer can't lie for 24 hours due to his son's birthday wish after he disappoints his son for the last time.,https://m.media-amazon.com/images/M/MV5BYjZlYmJjYWYtZDM0NS00YmZlLWIyMTAtMDY5ZTNjZTgwMDhjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",21 Mar 1997,True,86 min,Liar Liar,movie,N/A,"Paul Guay, Stephen Mazur",1997,tt0119528,6.9,"256,590",
110,"Til Schweiger, Jan Josef Liefers, Thierry van Werveke, Moritz Bleibtreu",8 wins & 3 nominations.,N/A,Germany,N/A,Thomas Jahn,"Action, Crime, Comedy, Drama","German, English",N/A,"Two young men, Martin and Rudi, both suffering from terminal cancer, get to know each other in a hospital room. They drown their desperation in Tequila and decide to take one last trip to ...",https://m.media-amazon.com/images/M/MV5BMTk2MjcxNjMzN15BMl5BanBnXkFtZTgwMTE3OTEwNjE@._V1_SX300.jpg,Phaedra,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",20 Feb 1997,True,87 min,Knockin' on Heaven's Door,movie,N/A,"Thomas Jahn (story), Thomas Jahn (screenplay), Til Schweiger (screenplay)",1997,tt0119472,8.0,"24,580",
111,"Wesley Snipes, Diane Lane, Daniel Benzali, Dennis Miller",N/A,N/A,USA,28 Aug 1997,Dwight H. Little,"Action, Crime, Drama, Mystery, Thriller",English,47,"A 25 year old female White House staffer, Carla Town, is murdered in the White House. D.C. homicide detective Regis is assigned to investigate, only to find evidence suppressed by the ...",https://m.media-amazon.com/images/M/MV5BN2EyYTAyNjAtNGQ3MC00NTE0LThmNGItN2Q4MWY2YzMyYzczXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,Warner Home Video,R,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",18 Apr 1997,True,107 min,Murder at 1600,movie,N/A,"Wayne Beach, David Hodgin",1997,tt0119731,6.1,"26,488",
112,"Toni Collette, Parker Posey, Lisa Kudrow, Alanna Ubach",2 wins & 1 nomination.,N/A,"UK, USA",26 Sep 2006,Jill Sprecher,"Comedy, Drama",English,N/A,"The relationship between four female temps all working for the same credit company is threatened with the arrival of a new hire, who lands a permanent position one of the women was vying for.",https://m.media-amazon.com/images/M/MV5BYzZlNDE3MzYtNDg4MC00ODMwLTk5NzktNjBjZDA3YTVkNzViXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,BMG,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}]",15 May 1998,True,96 min,Clockwatchers,movie,N/A,"Jill Sprecher, Karen Sprecher",1997,tt0118866,6.5,"4,316",
113,"Demi Moore, Viggo Mortensen, Anne Bancroft, Jason Beghe",2 wins & 3 nominations.,N/A,"USA, UK",28 Aug 2001,Ridley Scott,"Action, Drama, War",English,62,A female Senator succeeds in enrolling a woman into Combined Reconnaissance Team training where everyone expects her to fail.,https://m.media-amazon.com/images/M/MV5BYTJhOTY4M2EtNjA2Ny00YjBjLWE4MjItZjRiOTRhMGFjZmU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Hollywood Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",22 Aug 1997,True,125 min,G.I. Jane,movie,N/A,"Danielle Alexandra (story), David Twohy (screenplay), Danielle Alexandra (screenplay)",1997,tt0119173,5.9,"68,418",
114,"Aaron Eckhart, Stacy Edwards, Matt Malloy, Michael Martin",14 wins & 12 nominations.,N/A,"Canada, USA",17 Mar 1998,Neil LaBute,"Comedy, Drama","English, American Sign Language",81,"Two business executives--one an avowed misogynist, the other recently emotionally wounded by his love interest--set out to exact revenge on the female gender by seeking out the most innocent, uncorrupted girl they can find and ruining her life.",https://m.media-amazon.com/images/M/MV5BYmFiZTI1MDUtNGYyMi00ZTRkLWE1Y2UtZWY0ZDZiZTBiMjRmXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,Sony Pictures Classics,R,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",01 Aug 1997,True,97 min,In the Company of Men,movie,N/A,"Neil LaBute (play), Neil LaBute (screenplay)",1997,tt0119361,7.2,"12,448",
115,"Jena Malone, David Morse, Jodie Foster, Geoffrey Blake",Nominated for 1 Oscar. Another 14 wins & 26 nominations.,N/A,USA,16 Dec 1997,Robert Zemeckis,"Drama, Mystery, Sci-Fi, Thriller","English, Spanish, German, Russian",62,"Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine.",https://m.media-amazon.com/images/M/MV5BYWNkYmFiZjUtYmI3Ni00NzIwLTkxZjktN2ZkMjdhMzlkMDc3XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,Warner Home Video,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",11 Jul 1997,True,150 min,Contact,movie,N/A,"James V. Hart (screenplay by), Michael Goldenberg (screenplay by), Carl Sagan (based on the novel by), Carl Sagan (based on the story by), Ann Druyan (based on the story by)",1997,tt0118884,7.4,"233,516",
116,"Pamela Rabe, Miranda Otto, Paul Chubb, Frank Wilson",5 wins & 12 nominations.,N/A,Australia,25 Sep 2001,Samantha Lang,Drama,English,67,Young Katherine and her older friend Hester live at the isolated farm run by Hester and her father Francis. Katherine works as a maid and wants to leave that place because there's too much ...,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg1MTQ5NTI1Nl5BMl5BanBnXkFtZTcwOTIyNDQzMQ@@._V1_SX300.jpg,Cowboy Booking International,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",31 Jul 1998,True,101 min,The Well,movie,N/A,"Elizabeth Jolley (novel), Laura Jones",1997,tt0120493,6.1,337,
117,"Bill Pullman, Patricia Arquette, John Roselius, Louis Eppolito",1 win & 2 nominations.,N/A,"France, USA",25 Mar 2008,David Lynch,"Mystery, Thriller",English,52,"After a bizarre encounter at a party, a jazz saxophonist is framed for the murder of his wife and sent to prison, where he inexplicably morphs into a young mechanic and begins leading a new life.",https://m.media-amazon.com/images/M/MV5BYWUxOWY4NDctMDFmMS00ZTQwLWExMGEtODg0ZWNhOTE5NzZmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",15 Jan 1997,True,134 min,Lost Highway,movie,N/A,"David Lynch, Barry Gifford",1997,tt0116922,7.6,"117,181",
118,"Vanessa Redgrave, Natascha McElhone, Michael Kitchen, Alan Cox",2 wins & 1 nomination.,N/A,"UK, USA, Netherlands",28 Sep 1999,Marleen Gorris,"Drama, Romance",English,N/A,"In 1923 London, socialite Clarissa Dalloway's well-planned party is overshadowed by the return of an old suitor she had known 33 years earlier.",https://m.media-amazon.com/images/M/MV5BNjkzNjk3OTkwNl5BMl5BanBnXkFtZTcwMDAxMjIyMQ@@._V1_SX300.jpg,BMG,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}]",20 Feb 1998,True,97 min,Mrs Dalloway,movie,N/A,"Eileen Atkins (screenplay), Virginia Woolf (novel)",1997,tt0119723,6.8,"3,221",
119,"Luis Guzmán, Burt Reynolds, Julianne Moore, Rico Bueno",Nominated for 3 Oscars. Another 29 wins & 49 nominations.,N/A,USA,07 Apr 1998,Paul Thomas Anderson,Drama,English,85,The story of a young man's adventures in the California pornography industry of the late 1970s and early 1980s.,https://m.media-amazon.com/images/M/MV5BY2E2YWYxY2QtZmJmZi00MjJlLWFiYWItZTk5Y2IyMWQ1ZThhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,New Line Cinema,R,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",31 Oct 1997,True,155 min,Boogie Nights,movie,N/A,Paul Thomas Anderson,1997,tt0118749,7.9,"217,747",
120,"Kôji Yakusho, Masato Hagiwara, Tsuyoshi Ujiki, Anna Nakagawa",9 wins & 2 nominations.,N/A,Japan,06 Jan 2004,Kiyoshi Kurosawa,"Crime, Horror, Mystery, Thriller","Japanese, Spanish",70,A frustrated detective deals with the case of several gruesome murders committed by people who have no recollection of what they've done.,https://m.media-amazon.com/images/M/MV5BOTcwNDQzMWUtZDIwZS00MjVjLTkyY2MtY2U5ZjAwMWIxMDRiXkEyXkFqcGdeQXVyMTg2NTc4MzA@._V1_SX300.jpg,Cowboy Pictures,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",08 Jul 2001,True,111 min,Cure,movie,http://www.cowboybi.com/cure,"Kiyoshi Kurosawa (novel), Kiyoshi Kurosawa (screenplay)",1997,tt0123948,7.4,"8,508",
