,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes
163,"Louis Wolheim, Lew Ayres, John Wray, Arnold Lucy",Won 2 Oscars. Another 5 wins & 2 nominations.,N/A,USA,05 Jan 1999,Lewis Milestone,"Drama, War","English, French, German, Latin",N/A,A young soldier faces profound disillusionment in the soul-destroying horror of World War I.,https://m.media-amazon.com/images/M/MV5BMzg2MWQ4MDEtOGZlNi00MTg0LWIwMjQtYWY5NTQwYmUzMWNmXkEyXkFqcGdeQXVyMzg2MzE2OTE@._V1_SX300.jpg,Universal Pictures,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",24 Aug 1930,True,136 min,All Quiet on the Western Front,movie,N/A,"Erich Maria Remarque (by), Maxwell Anderson (adaptation), George Abbott (screen play), Del Andrews (adaptation), C. Gardner Sullivan (supervising story chief)",1930,tt0020629,8.1,"52,868"
164,"Gary Cooper, Marlene Dietrich, Adolphe Menjou, Ullrich Haupt",Nominated for 4 Oscars. Another 3 wins.,N/A,USA,N/A,Josef von Sternberg,"Drama, Romance","English, French, Spanish, Arabic, Italian",N/A,"A cabaret singer and a Legionnaire fall in love, but their relationship is complicated by the results of his womanizing and due to the appearance of a rich man who wants her for himself.",https://m.media-amazon.com/images/M/MV5BOWNiYzgxZjMtZTI5NC00MmZkLThkNTgtZGJmZTA0OTZmOGJiXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Paramount Pictures,Passed,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",06 Dec 1930,True,92 min,Morocco,movie,N/A,"Jules Furthman (adapted by), Benno Vigny (from the play ""Amy Jolly"" by)",1930,tt0021156,7.2,"4,792"
165,"The Marx Brothers, Groucho Marx, Harpo Marx, Chico Marx",2 nominations.,N/A,USA,10 Oct 2000,Victor Heerman,"Comedy, Musical",English,N/A,Mayhem and zaniness ensue when a valuable painting goes missing during a party in honor of famed African explorer Captain Spaulding.,https://m.media-amazon.com/images/M/MV5BNWZhYzk5NTQtZmViYS00ZjZlLTk0M2MtNWI4NGY4MGJkNmZmXkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg,MCA Universal Home Video,G,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",06 Sep 1930,True,97 min,Animal Crackers,movie,N/A,"George S. Kaufman (based on the musical play by), Morrie Ryskind (based on the musical play by), Bert Kalmar (based on the musical play by), Harry Ruby (based on the musical play by), Morrie Ryskind (screen play), Pierre Collings (continuity)",1930,tt0020640,7.6,"12,135"
166,"Herbert Marshall, Norah Baring, Phyllis Konstam, Edward Chapman",N/A,N/A,UK,05 Sep 2000,Alfred Hitchcock,"Crime, Mystery, Thriller",English,N/A,"A juror in a murder trial, after voting to convict, has second thoughts and begins to investigate on his own before the execution.",https://m.media-amazon.com/images/M/MV5BMmNjNzIyMGUtNmYzMy00OWM1LTk4MzAtMmZiNmNhM2E5M2ExXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,LionsGate Entertainment,TV-PG,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}]",24 Nov 1930,True,92 min,Murder!,movie,N/A,"Clemence Dane (from: ""Enter Sir John""), Helen Simpson (from: ""Enter Sir John""), Alfred Hitchcock (adapted by), Walter C. Mycroft (adapted by), Alma Reville (scenario)",1930,tt0021165,6.4,"4,937"
167,"Emil Jannings, Marlene Dietrich, Kurt Gerron, Rosa Valetti",N/A,N/A,Germany,13 Nov 2001,Josef von Sternberg,"Drama, Music","German, English, French",88,An elderly professor's ordered life spins dangerously out of control when he falls for a nightclub singer.,https://m.media-amazon.com/images/M/MV5BMmExOWQyYmUtMDZlZS00ZWQxLWE3YWQtMmM2ZmJhNWJhYzExXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,Universum Film Gmbh,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",05 Dec 1930,True,104 min,The Blue Angel,movie,N/A,"Heinrich Mann (novel), Carl Zuckmayer, Karl Vollmöller, Robert Liebmann, Carl Winston (english dialogue)",1930,tt0020697,7.8,"12,224"
168,"Chance Ward, Richard Tucker, Wilson Benge, DeWitt Jennings",N/A,N/A,USA,30 Nov 1999,Roland West,"Crime, Thriller, Horror",English,N/A,A master criminal terrorizes the occupants of an isolated country mansion.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwMjg3NDc2OF5BMl5BanBnXkFtZTgwMzk4ODQwMjE@._V1_SX300.jpg,United Artists,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}]",13 Nov 1930,True,83 min,The Bat Whispers,movie,N/A,"Mary Roberts Rinehart (based upon a stage play by), Avery Hopwood (based upon a stage play by)",1930,tt0020668,6.5,659
169,"Fanny Brice, Robert Armstrong, Harry Green, G. Pat Collins",N/A,N/A,USA,04 Sep 2007,Thornton Freeland,"Comedy, Musical",English,N/A,Ethnic comedy of a nightclub entertainer trying to train a boxer.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ3ODUwNDgzN15BMl5BanBnXkFtZTgwMjA5ODQwMjE@._V1_SX300.jpg,United Artists,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",08 Feb 1930,True,65 min,Be Yourself!,movie,N/A,"Max Marcin (adapted by), Thornton Freeland (adapted by), Joseph Jackson (from an original story by)",1930,tt0020670,6.0,149
170,"Marie Dressler, Wallace Beery, Dorothy Jordan, Marjorie Rambeau",N/A,N/A,USA,26 Feb 1992,George W. Hill,"Comedy, Drama",English,N/A,"Min, the owner of a dockside hotel, is forced to make difficult decisions about the future of Nancy, the young woman she took in as an infant.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0NjU3NTI5M15BMl5BanBnXkFtZTcwMjYzMjAwMQ@@._V1_SX300.jpg,Warner Bros. Pictures,PASSED,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",29 Nov 1930,True,69 min,Min and Bill,movie,N/A,"Lorna Moon (suggested from the book: ""Dark Star"" by), Frances Marion (scenario and dialogue), Marion Jackson (scenario and dialogue)",1930,tt0021148,7.3,"1,285"
171,"Barbara Stanwyck, Ralph Graves, Lowell Sherman, Marie Prevost",N/A,N/A,USA,N/A,Frank Capra,"Drama, Romance",English,N/A,An upper-crust artist hires a 'party girl' as a model; romance follows.,https://m.media-amazon.com/images/M/MV5BODgxNDY1NTQ0MF5BMl5BanBnXkFtZTgwMjc0NTgyMjE@._V1_SX300.jpg,Columbia Pictures,PASSED,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",05 Apr 1930,True,99 min,Ladies of Leisure,movie,N/A,"Milton Herbert Gropper (adapted from the David Belasco Stage Play by), Jo Swerling (adaptation)",1930,tt0021040,6.8,824
172,"Greta Garbo, Charles Bickford, George F. Marion, Marie Dressler",Nominated for 3 Oscars. Another 1 win.,N/A,USA,06 Sep 2005,Clarence Brown,"Drama, Romance",English,N/A,"A young woman reunites with her estranged father and falls in love with a sailor, but struggles to tell them about her dark past.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyNDA5MTY0M15BMl5BanBnXkFtZTgwMzA1NDIwMjE@._V1_SX300.jpg,WARNER BROTHERS PICTURES,PASSED,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",21 Feb 1930,True,89 min,Anna Christie,movie,N/A,"Frances Marion (adapted by), Eugene O'Neill (from play ""Anna Christie"")",1930,tt0020641,6.9,"2,236"
173,"Matahi, Anne Chevalier, Bill Bambridge, Hitu",Won 1 Oscar. Another 2 wins.,N/A,USA,03 Sep 2002,F.W. Murnau,"Drama, Romance, Adventure",English,N/A,"On the South Pacific island of Bora Bora, a young couple's love is threatened when the tribal chief declares the girl a sacred virgin.",https://m.media-amazon.com/images/M/MV5BNDhmNzg0M2UtZGNkNC00YTQ3LWE0ZjAtMmFjNTI2MmFkZmNiXkEyXkFqcGdeQXVyMTczMjA2Nzk@._V1_SX300.jpg,Milestone Film &amp; Video,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}]",01 Aug 1931,True,86 min,Tabu: A Story of the South Seas,movie,N/A,"F.W. Murnau (told by), Robert J. Flaherty (told by)",1931,tt0022458,7.6,"4,322"
174,"Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke",2 wins.,"$17,599",Germany,20 Oct 1998,Fritz Lang,"Crime, Mystery, Thriller",German,N/A,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",https://m.media-amazon.com/images/M/MV5BODA4ODk3OTEzMF5BMl5BanBnXkFtZTgwMTQ2ODMwMzE@._V1_SX300.jpg,Foremco,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",31 Aug 1931,True,99 min,M,movie,N/A,"Thea von Harbou (script), Fritz Lang (script)",1931,tt0022100,8.3,"125,335"
175,"Colin Clive, Mae Clarke, John Boles, Boris Karloff",4 wins & 3 nominations.,N/A,USA,28 Aug 2001,James Whale,"Drama, Horror, Sci-Fi","English, Latin",N/A,An obsessed scientist assembles a living being from parts of exhumed corpses.,https://m.media-amazon.com/images/M/MV5BN2RjNjU4MmUtZWU5MS00MjdhLTkxM2MtYjBiM2FhYTE4OTQwXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,Universal Pictures Company,Passed,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",21 Nov 1931,True,70 min,Frankenstein,movie,N/A,"John L. Balderston (based upon the composition by), Mary Shelley (from the novel by), Peggy Webling (adapted from the play by), Garrett Fort (screen play), Francis Edward Faragoh (screen play), Richard Schayer (scenario editor)",1931,tt0021884,7.9,"58,025"
176,"Greta Garbo, Ramon Novarro, Lionel Barrymore, Lewis Stone",N/A,N/A,USA,06 Sep 2005,George Fitzmaurice,"Crime, Drama, Romance",English,N/A,"A semi-fictionalized account of the life of Mata Hari, an exotic dancer who was accused of spying for Germany during World War I.",https://images-na.ssl-images-amazon.com/images/M/MV5BZmQwNjVlNzktNzk1Yy00NTJjLTg2MzItNzRhYzEwNmNjYzJlXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg,MGM Home Entertainment,PASSED,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}]",26 Dec 1931,True,89 min,Mata Hari,movie,N/A,"Benjamin Glazer (by), Leo Birinsky (by), Doris Anderson (additional dialogue), Gilbert Emery (additional dialogue)",1931,tt0023196,6.7,"2,661"
177,"Henry Kendall, Joan Barry, Percy Marmont, Betty Amann",N/A,N/A,UK,N/A,Alfred Hitchcock,"Comedy, Romance, Thriller",English,N/A,"Believing that an unexpected inheritance will bring them happiness, a married couple instead finds their relationship strained to the breaking point.",https://m.media-amazon.com/images/M/MV5BMTUzNDU2Mzk2NV5BMl5BanBnXkFtZTgwMDMyMDU4MTE@._V1_SX300.jpg,British International Pictures,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}]",13 Jun 1932,True,83 min,East of Shanghai,movie,N/A,"Dale Collins (novel), Alfred Hitchcock (adaptation), Alma Reville, Val Valentine",1931,tt0023395,5.9,"3,497"
178,"Gyula Csortos, Gyula Kabos, Mici Haraszti, Éva Fenyvessy",N/A,N/A,Hungary,N/A,Steve Sekely,Comedy,Hungarian,N/A,"A butler changes the life of a nouveau-riche entrepreneur's life, while his daughter falls in love with the company's manager instead of a suitor chosen for her.",https://images-na.ssl-images-amazon.com/images/M/MV5BMzU1ODQ2ZDMtOTExOC00NjJkLTkxMDMtOTczNmE3YmIzY2FiXkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",27 Nov 1931,True,72 min,"Hyppolit, the Butler",movie,N/A,"Károly Nóti, István Zágon",1931,tt0021985,7.8,"1,080"
179,"Tallulah Bankhead, Harvey Stephens, Irving Pichel, Jay Fassett",N/A,N/A,USA,N/A,"George Abbott, Berthold Viertel",Drama,English,N/A,Woman in debt makes an impulsive investment which doesn't go her way.,https://m.media-amazon.com/images/M/MV5BNTQyZTJjNjUtNWY2Zi00ZjRlLTgzMjctMTFhMjUxOGM1M2RjXkEyXkFqcGdeQXVyMjA1NjU0NTc@._V1_SX300.jpg,Paramount Pictures,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",28 Nov 1931,True,74 min,The Cheat,movie,N/A,"Harry Hervey, Hector Turnbull (silent film script)",1931,tt0021735,6.5,403
180,"Stan Laurel, Oliver Hardy, June Marlowe, Wilfred Lucas",N/A,N/A,USA,N/A,James Parrott,"Comedy, Crime, Drama, Musical","English, Italian",N/A,Two guys end up in prison after attempting to sell beer to a policeman during Prohibition.,https://m.media-amazon.com/images/M/MV5BMTQ1NTgyOTYyOV5BMl5BanBnXkFtZTgwMDI3NzkzMjE@._V1_SX300.jpg,MGM,Approved,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",15 Aug 1931,True,56 min,Pardon Us,movie,N/A,H.M. Walker (dialogue by),1931,tt0022251,7.0,"1,863"
181,"The Marx Brothers, Groucho Marx, Harpo Marx, Chico Marx",2 nominations.,N/A,USA,10 Oct 2000,Norman Z. McLeod,"Comedy, Musical",English,N/A,"On a transatlantic crossing, The Marx Brothers get up to their usual antics and manage to annoy just about everyone on board the ship.",https://m.media-amazon.com/images/M/MV5BOTg3YTJkZTEtMjg3NS00MTAzLThhZGYtZmM0MjgzYWQ3MWY4XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg,MCA Universal Home Video,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}]",19 Sep 1931,True,77 min,Monkey Business,movie,N/A,"S.J. Perelman (by), Will B. Johnstone (by), Arthur Sheekman (additional dialogue)",1931,tt0022158,7.6,"10,332"
182,"Richard Dix, Irene Dunne, Estelle Taylor, Nance O'Neil",Won 3 Oscars. Another 2 wins & 4 nominations.,N/A,USA,31 Jan 2006,Wesley Ruggles,"Drama, Western","English, French",N/A,A newspaper editor settles in an Oklahoma boom town with his reluctant wife at the end of the nineteenth century.,https://m.media-amazon.com/images/M/MV5BMjExODI2MjE4NF5BMl5BanBnXkFtZTgwMDA2NTAwMjE@._V1_SX300.jpg,MGM Home Entertainment,PASSED,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}]",09 Feb 1931,True,123 min,Cimarron,movie,N/A,"Edna Ferber (novel), Howard Estabrook (screen version), Howard Estabrook (dialogue)",1931,tt0021746,6.0,"4,602"
183,"James Cagney, Jean Harlow, Edward Woods, Joan Blondell",Nominated for 1 Oscar. Another 1 win.,N/A,USA,11 Sep 2001,William A. Wellman,"Crime, Drama",English,N/A,"A young hoodlum rises up through the ranks of the Chicago underworld, even as a gangster's accidental death threatens to spark a bloody mob war.",https://m.media-amazon.com/images/M/MV5BZmJhZTU2NjEtZWM4MC00ZWU3LWEyOWUtMDgxNzI4ZTllYjcwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,WARNER BROTHERS PICTURES,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",15 May 1931,True,83 min,The Public Enemy,movie,N/A,"Kubec Glasmon (by), John Bright (by), Harvey F. Thew (screen adaptation)",1931,tt0022286,7.7,"15,933"
184,"Barbara Stanwyck, Ben Lyon, Joan Blondell, Clark Gable",N/A,N/A,USA,23 Oct 1991,William A. Wellman,"Comedy, Crime, Drama","English, Cantonese",N/A,A nurse enlists the help of a petty criminal to foil a sinister plot to murder two children.,https://m.media-amazon.com/images/M/MV5BMjI5NDc2Nzg2N15BMl5BanBnXkFtZTcwMTI4NzM5Ng@@._V1_SX300.jpg,Warner Bros. Pictures,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}]",08 Aug 1931,True,72 min,Night Nurse,movie,N/A,"Grace Perkins (from the novel by), Oliver H.P. Garrett (screenplay), Charles Kenyon (additional dialogue)",1931,tt0022208,7.0,"2,701"
185,"Gloria Swanson, Ben Lyon, Monroe Owsley, Barbara Kent",N/A,N/A,USA,15 Mar 2005,Leo McCarey,"Comedy, Drama, Musical",English,N/A,A young woman jeopardizes the relationship with the man she loves when a no-account from her past shows up.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4NDMyMjA2OV5BMl5BanBnXkFtZTgwNzQ5MzczMTE@._V1_SX300.jpg,United Artists,PASSED,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",16 May 1931,True,92 min,Indiscreet,movie,N/A,"Buddy G. DeSylva (story ""Obey That Impulse""), Lew Brown (story ""Obey That Impulse""), Buddy G. DeSylva (scenario), Lew Brown (scenario), Ray Henderson (scenario)",1931,tt0022000,7.8,"1,166"
186,"Bela Lugosi, Helen Chandler, David Manners, Dwight Frye",3 wins & 3 nominations.,N/A,USA,28 Aug 2001,Tod Browning,"Fantasy, Horror","English, Hungarian, Latin",N/A,The ancient vampire Count Dracula arrives in England and begins to prey upon the virtuous young Mina.,https://m.media-amazon.com/images/M/MV5BZDY2ODZhZWQtNDk0ZS00OGE4LWE4NjAtZjE5MTJhMjExMTRjXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Universal Pictures,Passed,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}]",14 Feb 1931,True,75 min,Dracula,movie,http://www.FathomEvents.com,"Bram Stoker (by), Hamilton Deane (from the play adapted by), John L. Balderston (from the play adapted by), Garrett Fort (play)",1931,tt0021814,7.6,"40,637"
187,"Greta Garbo, Theo Shall, Hans Junkermann, Salka Viertel",N/A,N/A,USA,06 Sep 2005,Jacques Feyder,Drama,German,N/A,"A young woman reunites with her estranged father and falls in love with a sailor, but struggles to tell them about her dark past.",https://ia.media-imdb.com/images/M/MV5BYWMzOGRjNTEtODQ5OC00NDU2LWIxZTAtMGE0ZTVlZmQ0M2FlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,WARNER BROTHERS PICTURES,TV-PG,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",22 Dec 1930,True,85 min,Anna Christie,movie,N/A,"Walter Hasenclever (German dialogue), Frances Marion (adaptation), Eugene O'Neill (play), Frank Reicher (German screenplay)",1930,tt0020642,7.2,655
188,"Emilia Unda, Dorothea Wieck, Hedwig Schlichter, Hertha Thiele",3 wins.,N/A,Germany,N/A,"Leontine Sagan, Carl Froelich","Drama, Romance",German,N/A,"At an all-girls boarding school, Manuela falls in love with a teacher, to terrific consequences.","https://images-na.ssl-images-amazon.com/images/M/MV5BOTA1MjYyODA2OF5BMl5BanBnXkFtZTcwMjE3MDQ5MQ@@._V1._CR0,1,353,468_SY132_CR5,0,89,132_AL_.jpg_V1_SX300.jpg",N/A,PASSED,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",27 Nov 1931,True,87 min,Mädchen in Uniform,movie,N/A,"Christa Winsloe (screenplay), Friedrich Dammann (screenplay), Christa Winsloe (play)",1931,tt0022183,7.8,"1,827"
189,"Henri Marchand, Raymond Cordy, Rolla France, Paul Ollivier",Nominated for 1 Oscar. Another 3 wins.,N/A,France,20 Aug 2002,René Clair,"Comedy, Musical",French,N/A,"Seeking better life, two convicts escape from prison.",https://m.media-amazon.com/images/M/MV5BODg0ODAzNTItM2M4ZC00NGYxLWIzMmMtNzFiMWIzYWU2YWJiXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,Harold Auten,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",31 Dec 1931,True,97 min,À Nous la Liberté,movie,N/A,René Clair (story and screenplay),1931,tt0022599,7.6,"3,611"
190,"C.V. France, Helen Haye, Jill Esmond, Edmund Gwenn",N/A,N/A,UK,05 Sep 2000,Alfred Hitchcock,Drama,English,N/A,An old traditional family and a modern family battle over land in a small English village and almost destroy each other.,https://m.media-amazon.com/images/M/MV5BMTQ5MjcwNzI4N15BMl5BanBnXkFtZTgwODQ2NjA4MzE@._V1_SX300.jpg,Warner Home Video,TV-G,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}]",20 Jun 1931,True,85 min,The Skin Game,movie,N/A,"John Galsworthy (a talking film by), Alfred Hitchcock (adaptation), Alma Reville (scenario)",1931,tt0022395,5.9,"2,536"
191,"Carlos Villarías, Lupita Tovar, Barry Norton, Pablo Álvarez Rubio",1 win & 1 nomination.,N/A,USA,10 Sep 1992,"George Melford, Enrique Tovar Ávalos","Fantasy, Horror","Spanish, Hungarian",N/A,Centuries-old vampire Dracula preys upon the innocent Eva and her friends.,https://m.media-amazon.com/images/M/MV5BYzhkMGRhZDMtZTBmZS00NzBmLTg2MjktYWI5YjE2NTgyMjgxXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,N/A,Unrated,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",24 Apr 1931,True,104 min,Drácula,movie,N/A,"Bram Stoker (novel), Baltasar Fernández Cué (Spanish adaptation)",1931,tt0021815,7.2,"3,599"
192,"Maurice Chevalier, Claudette Colbert, Miriam Hopkins, Charles Ruggles",N/A,N/A,USA,12 Feb 2008,Ernst Lubitsch,"Comedy, Romance, Musical","English, French",N/A,"An amorous lieutenant is forced to marry a socially awkward princess, though he tries to keep his violin-playing girlfriend on the side.",https://m.media-amazon.com/images/M/MV5BZmIzMGMwOGQtYjY3YS00NmRhLTkxMjctZmYyNWIyYzc2NGVhXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,Paramount Pictures,PASSED,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}]",01 Aug 1931,True,93 min,The Smiling Lieutenant,movie,N/A,"Leopold Jacobson (operetta), Felix Dormann (operetta), Hans Müller (novel), Ernest Vajda (screenplay), Samson Raphaelson (screenplay)",1931,tt0022074,7.8,"2,908"
193,"Richard Barthelmess, David Manners, Johnny Mack Brown, Helen Chandler",N/A,N/A,USA,N/A,William Dieterle,Drama,"English, French",N/A,World War 1 veterans roam Paris drinking and admiring a woman they recently met.,https://m.media-amazon.com/images/M/MV5BMjA4MTcwODA4Ml5BMl5BanBnXkFtZTcwNTI4NjYxNA@@._V1_SX300.jpg,N/A,Passed,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",29 Aug 1931,True,76 min,The Last Flight,movie,N/A,"John Monk Saunders (novel), John Monk Saunders (screenplay), Byron Morgan (continuity)",1931,tt0022054,7.8,"1,191"
194,"Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia",3 wins.,N/A,USA,08 Feb 2000,Charles Chaplin,"Comedy, Drama, Romance",English,N/A,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,United Artists,G,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}]",07 Mar 1931,True,87 min,City Lights,movie,N/A,Charles Chaplin,1931,tt0021749,8.5,"143,796"
195,"Michel Simon, Janie Marèse, Georges Flamant, Roger Gaillard",N/A,N/A,France,N/A,Jean Renoir,"Crime, Drama",French,N/A,A woman and her pimp exploit a painter for money.,https://m.media-amazon.com/images/M/MV5BYTZjY2QwYjMtODQ0YS00MGRjLTg5Y2QtNWUzNWU2ZjM0MDU2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",30 Apr 1976,True,95 min,La Chienne,movie,N/A,"Georges de La Fouchardière (novel), Jean Renoir (adaptation)",1931,tt0021739,7.7,"3,063"
196,"Edward G. Robinson, Douglas Fairbanks Jr., Glenda Farrell, William Collier Jr.",Nominated for 1 Oscar. Another 1 win.,N/A,USA,25 Jan 2005,Mervyn LeRoy,"Action, Crime, Drama, Romance",English,N/A,A small-time criminal moves to a big city to seek bigger fortune.,https://m.media-amazon.com/images/M/MV5BYzE4ZTI3MDQtMTE5MS00MzQxLTkwZGMtYWM5MjU2MzE3OTk5XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Warner Home Video,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}]",25 Jan 1931,True,79 min,Little Caesar,movie,N/A,"W.R. Burnett (novel), Robert N. Lee (continuity), Francis Edward Faragoh (screen version), Francis Edward Faragoh (dialogue)",1931,tt0021079,7.3,"10,594"
197,"Sylvia Sidney, Fredric March, Adrianne Allen, Richard 'Skeets' Gallagher",N/A,N/A,USA,N/A,Dorothy Arzner,"Comedy, Drama, Romance",English,N/A,"A drunken newspaperman is rescued from his alcoholic haze by an heiress whose love sobers him up and encourages him to write a play, but he lapses back into dipsomania.",https://ia.media-imdb.com/images/M/MV5BN2FhMTk2MGMtNWFkMC00MTc5LWIxZmYtMzhlYTJhMGM1Y2ZhXkEyXkFqcGdeQXVyMjc1NjE1MzM@._V1_SX300.jpg,Paramount Pictures,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",10 Jun 1932,True,78 min,Merrily We Go to Hell,movie,N/A,"Cleo Lucas (novel), Edwin Justus Mayer (screenplay)",1932,tt0023213,6.8,606
198,"Dorothy Wilson, Arline Judge, Richard Cromwell, Eric Linden",N/A,N/A,USA,N/A,Gregory La Cava,"Drama, Romance",English,N/A,College co-eds learn to handle the responsibilities of romance.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIwMzY3MDE3Nl5BMl5BanBnXkFtZTgwODUyODgwMzE@._V1_SX300.jpg,N/A,PASSED,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",19 Aug 1932,True,63 min,The Age of Consent,movie,N/A,"Martin Flavin (play), Sarah Y. Mason (screenplay), Francis M. Cockrell (screenplay)",1932,tt0022614,6.0,221
