,Actors,Awards,BoxOffice,Country,DVD,Director,Episode,Error,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Season,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,seriesID,totalSeasons
254,"Dane Cook, Stacy Keach, Brad Garrett, Teri Hatcher",5 nominations.,"$71,270,759",USA,19 Nov 2013,Klay Hall,,,"Animation, Adventure, Comedy, Family","English, Spanish",39,A cropdusting plane with a fear of heights lives his dream of competing in a famous around-the-world aerial race.,https://m.media-amazon.com/images/M/MV5BMjAwODc5NzYzOF5BMl5BanBnXkFtZTcwNTk4MjEzOQ@@._V1_SX300.jpg,Walt Disney Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",09 Aug 2013,True,91 min,,Planes,movie,http://www.disney.com/planes,"John Lasseter (original story by), Klay Hall (original story by), Jeffrey M. Howard (original story by), Jeffrey M. Howard (screenplay by), Roberts Gannaway (additional story material), Jon Cryer (additional story material)",2013,tt1691917,5.7,"39,539",,
255,"Lake Bell, Rob Corddry, Alexandra Holden, Eva Longoria",3 wins & 16 nominations.,"$2,041,184",USA,21 Jan 2014,Lake Bell,,,Comedy,"English, Russian",79,An underachieving voice coach finds herself competing in the movie trailer voice-over profession against her arrogant father and his protégé.,https://m.media-amazon.com/images/M/MV5BMTU0NzE0Mzg3M15BMl5BanBnXkFtZTcwNzY2MDY3OQ@@._V1_SX300.jpg,Roadside Attractions,R,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",13 Sep 2013,True,93 min,,In a World...,movie,http://inaworldmovie.com/,Lake Bell,2013,tt2294677,6.7,"29,122",,
256,"Cuyle Carvin, Andrew J McGuinness, Marlene Mc'Cohen, Jenny Allford",N/A,N/A,USA,27 Aug 2013,David Palmieri,,,"Action, Sci-Fi, War","English, Spanish",N/A,"SAM BATTLE is injured during his tour of duty in the Gulf War. He loses an eye and is near death. His good friend, BRANDON STORM, who is a scientist, injects him with a secret serum that he...",https://images-na.ssl-images-amazon.com/images/M/MV5BMzg3NzIwNjMwM15BMl5BanBnXkFtZTcwNzk4NTc3Nw@@._V1_SX300.jpg,Tempe Video,N/A,"[{'Source': 'Internet Movie Database', 'Value': '1.3/10'}]",01 Feb 2013,True,90 min,,Captain Battle: Legacy War,movie,http://www.tempevideo.com,"Jack Binder (comic book), Carl Formes (comic book), Keith Parker, Kenny White",2013,tt2387413,1.3,321,,
257,"Arron Shiver, Arnold Schwarzenegger, Titos Menchaca, Richard Dillard",1 win & 2 nominations.,"$12,000,000",USA,21 May 2013,Jee-woon Kim,,,"Action, Thriller",English,54,"The leader of a drug cartel busts out of a courthouse and speeds to the Mexican border, where the only thing in his path is a sheriff and his inexperienced staff.",https://m.media-amazon.com/images/M/MV5BODc4NjI0OTYwNl5BMl5BanBnXkFtZTcwOTYwODQ3OA@@._V1_SX300.jpg,Lionsgate Films,R,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",18 Jan 2013,True,107 min,,The Last Stand,movie,http://thelaststandfilm.com/,Andrew Knauer,2013,tt1549920,6.4,"125,746",,
258,"Theresa Russell, Tina Alexis Allen, Michael Alban, Rachel St. Gelais",N/A,N/A,USA,N/A,Jeanie M. Clark,,,"Drama, Family",English,N/A,Dove Family Approved Seal/Faith Friendly Moving Mountains is the true story of one woman's heroic struggle to save her community. She must overcome the might of a billion dollar coal ...,http://ia.media-imdb.com/images/M/MV5BNjkyNzQ1MTIzNl5BMl5BanBnXkFtZTgwODI3ODY4MjE@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",21 Aug 2014,True,104 min,,Moving Mountains,movie,N/A,Penny Loeb,2014,tt2415174,7.6,13,,
259,"Javier Gutiérrez, Raúl Rivas, Daniel Cerezo, Claudia Vega",1 win & 6 nominations.,N/A,Spain,N/A,Oskar Santos,,,"Adventure, Comedy, Family",Spanish,N/A,"Naughty twins Zip & Zap are punished and sent to summer school at Hope, a strict re-education center run by Falconetti, who rules with a heavy hand and an eyepatch and forbids all forms of ...",https://m.media-amazon.com/images/M/MV5BMTk2Njg2MTEwNl5BMl5BanBnXkFtZTgwNjA3MTM5MDE@._V1_SX300.jpg,Zeta Audiovisual,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",04 Oct 2013,True,97 min,,Zip & Zap and the Marble Gang,movie,N/A,"Jorge Lara (story), Oskar Santos (story), Jorge Lara (screenplay), Francisco Roncal (screenplay), José Escobar (comic ""Zipi y Zape"" created by), Moisés Gómez Ramos (story collaboration)",2013,tt2388821,5.5,738,,
260,"Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui, Lillete Dubey",Nominated for 1 BAFTA Film Award. Another 29 wins & 35 nominations.,"$4,231,500","India, France, Germany, USA, Canada",01 Jul 2014,Ritesh Batra,,,"Drama, Romance","Hindi, English",76,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.,https://m.media-amazon.com/images/M/MV5BMTUwMzc1NjIzMV5BMl5BanBnXkFtZTgwODUyMTIxMTE@._V1_SX300.jpg,Sony Pictures Classics,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",20 Sep 2013,True,104 min,,The Lunchbox,movie,http://www.cinemosaic.net/films/dabba.html,"Ritesh Batra (screenplay), Vasan Bala (hindi dialogue consultant)",2013,tt2350496,7.8,"42,147",,
261,"Chris Pine, Zachary Quinto, Zoe Saldana, Karl Urban",Nominated for 1 Oscar. Another 6 wins & 56 nominations.,"$228,756,232",USA,10 Sep 2013,J.J. Abrams,,,"Action, Adventure, Sci-Fi","English, Klingon",72,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",https://m.media-amazon.com/images/M/MV5BMTk2NzczOTgxNF5BMl5BanBnXkFtZTcwODQ5ODczOQ@@._V1_SX300.jpg,Paramount,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",16 May 2013,True,132 min,,Star Trek Into Darkness,movie,http://www.startrekmovie.com/,"Roberto Orci, Alex Kurtzman, Damon Lindelof, Gene Roddenberry (television series ""Star Trek"")",2013,tt1408101,7.7,"442,890",,
262,"Marilou Berry, Nathalie Baye, André Dussollier, Audrey Fleurot",1 win.,N/A,France,N/A,Jean-Marc Rudnicki,,,"Comedy, Game-Show",French,N/A,"In a desperate attempt to reconnect with her estranged son who is a passionate WWE fan, Rose grabs his attention by joining a rigorous training program to learn to wrestle like a legitimate...",https://images-na.ssl-images-amazon.com/images/M/MV5BNzQxNjM5MTAxMF5BMl5BanBnXkFtZTgwNzQyMzkxMzE@._V1_SX300.jpg,N/A,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",03 Jul 2013,True,97 min,,Wrestling Queens,movie,N/A,"Manon Dillys (scenario), Hélène Le Gall (scenario), Marie Pavlenko (scenario), Clément Michel (adaptation), Jean-Marc Rudnicki (adaptation), Hélène Le Gall (original idea), Julien War (consultant), Remy Four (consultant), Thomas Perrier (consultant), Eric Laugérias (consultant), Allan Mauduit (consultant)",2013,tt2330546,5.5,470,,
263,"Matt Smith, David Tennant, Christopher Eccleston, John Hurt",N/A,,UK,,Nick Hurran,N/A,,"Adventure, Drama, Family, Mystery, Sci-Fi",English,N/A,"In 2013, something terrible is awakening in London's National Gallery; in 1562, a murderous plot is afoot in Elizabethan England; and somewhere in space an ancient battle reaches its devastating conclusion.",https://m.media-amazon.com/images/M/MV5BMjAyMTkzMDA5OV5BMl5BanBnXkFtZTgwMjUzNDMyMDE@._V1_SX300.jpg,,TV-PG,"[{'Source': 'Internet Movie Database', 'Value': '9.4/10'}]",23 Nov 2013,True,77 min,N/A,The Day of the Doctor,episode,,"Steven Moffat, Terry Nation (characters: ""Daleks""), Robert Banks Stewart (characters: ""Zygons""), Kit Pedler (characters: ""Cybermen""), Gerry Davis (characters: ""Cybermen"")",2013,tt2779318,9.4,15928,N/A,
264,"Dee Wallace, Stephanie Greco, Brent Lydic, Jasper Cole",N/A,N/A,USA,21 Jan 2013,Anthony C. Ferrante,,,Horror,English,N/A,"In this modern retelling of the classic horror tale, teen siblings are enslaved by a psychotic recluse within her gruesome house of horrors in the woods.",https://m.media-amazon.com/images/M/MV5BMTY5NjczNzAyMl5BMl5BanBnXkFtZTcwNjcxNDQ5OA@@._V1_SX300.jpg,WARNER BROTHERS PICTURES,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '2.8/10'}]",08 Jan 2013,True,90 min,,Hansel & Gretel,movie,N/A,Jose Prendes (screenplay),2013,tt2415464,2.8,"2,846",,
265,"Alexandra Daddario, Dan Yeager, Trey Songz, Scott Eastwood",2 wins & 7 nominations.,"$34,334,256",USA,14 May 2013,John Luessenhop,,,"Horror, Thriller",English,N/A,A young woman travels to Texas to collect an inheritance; little does she know that an encounter with a chainsaw-wielding killer is part of the reward.,https://m.media-amazon.com/images/M/MV5BMTQzMzAyNTE2N15BMl5BanBnXkFtZTcwNzM1NDg2OA@@._V1_SX300.jpg,Lionsgate Films,R,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}]",04 Jan 2013,True,92 min,,Texas Chainsaw 3D,movie,http://www.texaschainsaw3d.com/,"Adam Marcus (screenplay), Debra Sullivan (screenplay), Kirsten Elms (screenplay), Stephen Susco (story), Adam Marcus (story), Debra Sullivan (story), Kim Henkel (characters), Tobe Hooper (characters)",2013,tt1572315,4.8,"41,289",,
266,"Aidan Quinn, Virginia Madsen, Zosia Mamet, Olympia Dukakis",N/A,N/A,USA,10 Sep 2013,Maggie Greenwald,,,"Family, Fantasy",English,N/A,"When the teenage daughter of a reclusive family of artists falls in love with an unusual boy at school, she awakens mysterious powers and discovers ancient family secrets that will change her life forever.",https://m.media-amazon.com/images/M/MV5BMjQ5NjcwNzE5OF5BMl5BanBnXkFtZTgwMjg5NTM5MTE@._V1_SX300.jpg,BCDF Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",25 Apr 2013,True,85 min,,The Last Keepers,movie,N/A,"Peter Hutchings, Christina Mengert, Claude Dal Farra (story)",2013,tt1716767,5.5,"1,653",,
267,"Helena Bonham Carter, Judy Davis, Callum Keith Rennie, Kyle Catlett",5 wins & 6 nominations.,N/A,"France, Canada",N/A,Jean-Pierre Jeunet,,,"Action, Adventure, Comedy, Drama, Family",English,53,"A ten-year-old scientist secretly leaves his family's ranch in Montana where he lives with his cowboy father and scientist mother, escapes home, and travels across the country aboard a freight train to receive an award at the Smithsonian Institute.",https://m.media-amazon.com/images/M/MV5BMTk3MDU1MTc5Ml5BMl5BanBnXkFtZTgwNzk2NDY2NjE@._V1_SX300.jpg,The Weinstein Company,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",31 Jul 2015,True,105 min,,The Young and Prodigious T.S. Spivet,movie,N/A,"Jean-Pierre Jeunet (screenplay), Guillaume Laurant (screenplay), Guillaume Laurant (dialogue), Reif Larsen (novel)",2013,tt1981107,7.1,"15,005",,
268,"Jeremy Irons, Mélanie Laurent, Jack Huston, Martina Gedeck",3 wins & 3 nominations.,N/A,"Germany, Switzerland, Portugal",17 Dec 2013,Bille August,,,"Mystery, Romance, Thriller","English, Portuguese",30,"Raimund Gregorius, a Swiss Professor, abandons his lectures and buttoned-down life to embark on a thrilling adventure that will take him on a journey to the very heart of himself.",https://m.media-amazon.com/images/M/MV5BNDE5OTkxNzMxNl5BMl5BanBnXkFtZTgwMjQ4NjY3MDE@._V1_SX300.jpg,Wrekin Hill,R,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",06 Dec 2013,True,111 min,,Night Train to Lisbon,movie,http://www.nighttrain-film.com/,"Greg Latter (screenplay), Ulrich Herrmann (screenplay), Pascal Mercier (novel)",2013,tt1654523,6.8,"16,500",,
269,"Jason Statham, Jennifer Lopez, Michael Chiklis, Wendell Pierce",1 nomination.,"$17,609,982",USA,21 May 2013,Taylor Hackford,,,"Action, Crime, Thriller",English,42,"A thief with a unique code of professional ethics is double-crossed by his crew and left for dead. Assuming a new disguise and forming an unlikely alliance with a woman on the inside, he looks to hijack the score of the crew's latest heist.",https://m.media-amazon.com/images/M/MV5BMTk4MzM2NTQ1Nl5BMl5BanBnXkFtZTcwODIyODY1OA@@._V1_SX300.jpg,FilmDistrict,R,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",25 Jan 2013,True,118 min,,Parker,movie,http://www.parkermovie.com/,"John J. McLaughlin (screenplay), Donald E. Westlake (novel)",2013,tt1904996,6.2,"104,653",,
270,"James Franco, Jonah Hill, Seth Rogen, Jay Baruchel",10 wins & 20 nominations.,"$96,200,000",USA,01 Oct 2013,"Evan Goldberg, Seth Rogen",,,"Comedy, Fantasy","English, Spanish",67,"6 Los Angeles celebrities are stuck in James Franco's house after a series of devastating events just destroyed the city. Inside, the group not only will have to face with the apocalypse, but with themselves.",https://m.media-amazon.com/images/M/MV5BMTQxODE3NjM1Ml5BMl5BanBnXkFtZTcwMzkzNjc4OA@@._V1_SX300.jpg,Sony Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",12 Jun 2013,True,107 min,,This Is the End,movie,http://www.thisistheend.com,"Seth Rogen (screenplay), Evan Goldberg (screenplay), Seth Rogen (screen story), Evan Goldberg (screen story), Seth Rogen (short film ""Jay and Seth vs. The Apocalypse""), Jason Stone (based on the short film ""Jay and Seth vs. The Apocalypse"" by), Evan Goldberg (short film ""Jay and Seth vs. The Apocalypse"")",2013,tt1245492,6.6,"357,626",,
271,"AJ Michalka, James Denton, Kevin Pollak, Shawnee Smith",1 win.,"$2,507,106",USA,11 Feb 2014,Brad J. Silverman,,,"Drama, Music",English,39,"Grace Trey is a phenomenal singer. But at the tender age of eighteen, after she gets the music break of a lifetime and is thrust into the ""real world"" - her faith is put to the test.",https://m.media-amazon.com/images/M/MV5BMTA4MzY3MzA1MTZeQTJeQWpwZ15BbWU3MDY1MTE2Nzk@._V1_SX300.jpg,Roadside Attractions,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",01 Sep 2014,True,102 min,,Grace Unplugged,movie,http://graceunplugged.com/,"Brad J. Silverman (screenplay), Brad J. Silverman (story), Brandon Rice (story), James Killian (story)",2013,tt2349460,6.2,"2,964",,
272,"Tiger Hu Chen, Keanu Reeves, Karen Mok, Hai Yu",N/A,"$61,054","USA, China, Hong Kong",10 Dec 2013,Keanu Reeves,,,"Action, Drama","Cantonese, English, Mandarin",52,A young martial artist's unparalleled Tai Chi skills land him in a highly lucrative underworld fight club.,https://m.media-amazon.com/images/M/MV5BMjcyYzQ1MzItYWI0My00NjE4LTk1YWEtNjc2NjIyOTliZjExXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Radius-TWC,R,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",05 Jul 2013,True,105 min,,Man of Tai Chi,movie,http://radiustwc.com/releases/man-of-tai-chi/,Michael G. Cooney,2013,tt2016940,6.1,"32,571",,
273,"Elyas M'Barek, Karoline Herfurth, Katja Riemann, Jana Pallaske",5 wins & 4 nominations.,N/A,Germany,N/A,Bora Dagtekin,,,Comedy,German,N/A,A comedy that follows an ex-con who lands a position at a school that sits over the spot where money from one of his earlier robberies was stashed.,https://m.media-amazon.com/images/M/MV5BMTkxMzc1MjMxM15BMl5BanBnXkFtZTgwNzQxNzI5MDE@._V1_SX300.jpg,Constantin Film Verleih,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",07 Nov 2013,True,119 min,,Suck Me Shakespeer,movie,N/A,"Bora Dagtekin (screenplay), Simon Hauschild (lecture)",2013,tt2987732,7.0,"24,208",,
274,"Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn",5 wins & 18 nominations.,"$33,223,430","USA, UK",15 Apr 2014,Ben Stiller,,,"Adventure, Comedy, Drama, Fantasy, Romance","English, Spanish, Icelandic",54,"When his job along with that of his co-worker are threatened, Walter takes action in the real world embarking on a global journey that turns into an adventure more extraordinary than anything he could have ever imagined.",https://m.media-amazon.com/images/M/MV5BODYwNDYxNDk1Nl5BMl5BanBnXkFtZTgwOTAwMTk2MDE@._V1_SX300.jpg,20th Century Fox,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",25 Dec 2013,True,114 min,,The Secret Life of Walter Mitty,movie,http://WalterMitty.com,"Steve Conrad (screenplay by), Steve Conrad (screen story by), James Thurber (based on the short story by)",2013,tt0359950,7.3,"273,096",,
275,"Famke Janssen, Bill Skarsgård, Landon Liboiron, Joel de la Fuente",Nominated for 2 Primetime Emmys. Another 3 nominations.,,USA,,N/A,,,"Horror, Mystery, Thriller",English,N/A,"Secrets are just part of daily life in the small Pennsylvania town of Hemlock Grove,where the darkest evils hide in plain sight.",https://m.media-amazon.com/images/M/MV5BMTA5MTg0NDU0OTReQTJeQWpwZ15BbWU4MDg3ODI0ODEx._V1_SX300.jpg,,TV-MA,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",19 Apr 2013,True,46 min,,Hemlock Grove,series,,"Brian McGreevy, Lee Shipman",2013–2015,tt2309295,7.2,"33,691",,3
276,"Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott",Nominated for 3 Oscars. Another 16 wins & 86 nominations.,"$180,443,783","USA, New Zealand",08 Apr 2014,Peter Jackson,,,"Adventure, Fantasy",English,66,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",https://m.media-amazon.com/images/M/MV5BMzU0NDY0NDEzNV5BMl5BanBnXkFtZTgwOTIxNDU1MDE@._V1_SX300.jpg,Warner Bros.,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",13 Dec 2013,True,161 min,,The Hobbit: The Desolation of Smaug,movie,http://www.thehobbit.com/index.html,"Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay), Guillermo del Toro (screenplay), J.R.R. Tolkien (novel)",2013,tt1170358,7.8,"561,110",,
277,"Jason Statham, James Franco, Izabela Vidovic, Kate Bosworth",1 nomination.,"$12,641,119",USA,11 Mar 2014,Gary Fleder,,,"Action, Crime, Thriller",English,40,"A former DEA agent moves his family to a quiet town, where he soon tangles with a local meth druglord.",https://m.media-amazon.com/images/M/MV5BMTUwOTAzNzAwMl5BMl5BanBnXkFtZTgwOTc1NDIyMDE@._V1_SX300.jpg,Open Road Films,R,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",27 Nov 2013,True,100 min,,Homefront,movie,https://www.facebook.com/HomeFrontMovie,"Sylvester Stallone (screenplay by), Chuck Logan (based on the novel by)",2013,tt2312718,6.5,"97,777",,
278,"Saoirse Ronan, Tom Holland, George MacKay, Harley Bird",1 win & 8 nominations.,N/A,UK,11 Feb 2014,Kevin Macdonald,,,"Romance, Sci-Fi, Thriller, War",English,57,"An American girl, sent to the English countryside to stay with relatives, finds love and purpose while fighting for her survival as war envelops the world around her.",https://m.media-amazon.com/images/M/MV5BMTU4NTg4NzgzMF5BMl5BanBnXkFtZTgwOTU1NTMxMDE@._V1_SX300.jpg,Magnolia Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",04 Oct 2013,True,101 min,,How I Live Now,movie,http://www.facebook.com/HowILiveNow,"Meg Rosoff (based on the novel by), Jeremy Brock (screenplay by), Penelope Skinner (screenplay by), Tony Grisoni (screenplay by), Jack Thorne (additional material)",2013,tt1894476,6.5,"25,925",,
279,"Jaden Smith, Will Smith, Sophie Okonedo, Zoë Kravitz",3 wins & 8 nominations.,"$60,522,097",USA,08 Oct 2013,M. Night Shyamalan,,,"Action, Adventure, Sci-Fi",English,33,"A crash landing leaves Kitai Raige and his father Cypher stranded on Earth, a millennium after events forced humanity's escape. With Cypher injured, Kitai must embark on a perilous journey to signal for help.",https://m.media-amazon.com/images/M/MV5BMTY3MzQyMjkwMl5BMl5BanBnXkFtZTcwMDk2OTE0OQ@@._V1_SX300.jpg,Sony Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",31 May 2013,True,100 min,,After Earth,movie,http://afterearth.com/,"Gary Whitta (screenplay), M. Night Shyamalan (screenplay), Will Smith (story)",2013,tt1815862,4.8,"180,278",,
280,"Macon Blair, Ydaiber Orozco, Ronald Sarcos, Dani Santiago",8 wins & 18 nominations.,N/A,"USA, France",22 Jul 2014,Jeremy Saulnier,,,"Crime, Drama, Thriller",English,77,"A mysterious outsider's quiet life is turned upside down when he returns to his childhood home to carry out an act of vengeance. Proving himself an amateur assassin, he winds up in a brutal fight to protect his estranged family.",https://m.media-amazon.com/images/M/MV5BMTY4NTM2MDg5OV5BMl5BanBnXkFtZTgwMDA3OTAwMTE@._V1_SX300.jpg,Radius-TWC,R,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",09 Jul 2014,True,90 min,,Blue Ruin,movie,http://blueruinmovie.com/,Jeremy Saulnier,2013,tt2359024,7.1,"57,678",,
281,"Mark Wahlberg, Dwayne Johnson, Anthony Mackie, Tony Shalhoub",4 nominations.,"$49,300,000",USA,27 Aug 2013,Michael Bay,,,"Action, Comedy, Crime, Drama, Thriller",English,45,A trio of bodybuilders in Florida get caught up in an extortion ring and a kidnapping scheme that goes terribly wrong.,https://m.media-amazon.com/images/M/MV5BMTU0NDE5NTU0OV5BMl5BanBnXkFtZTcwMzI1OTMzOQ@@._V1_SX300.jpg,Paramount Studios,R,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",26 Apr 2013,True,129 min,,Pain & Gain,movie,http://www.painandgainmovie.com/,"Christopher Markus (screenplay), Stephen McFeely (screenplay), Pete Collins (based on the magazine articles by)",2013,tt1980209,6.4,"186,421",,
282,"Robin Wright, Harvey Keitel, Sami Gayle, Jon Hamm",10 wins & 10 nominations.,N/A,"Israel, Germany, Poland, Luxembourg, Belgium, France, USA",02 Dec 2014,Ari Folman,,,"Animation, Drama, Sci-Fi",English,63,"An aging, out-of-work actress accepts one last job, though the consequences of her decision affect her in ways she didn't consider.",https://m.media-amazon.com/images/M/MV5BMjE5MTUzNDk3M15BMl5BanBnXkFtZTgwMTUwNTQ5MTE@._V1_SX300.jpg,Drafthouse Films,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",24 Jul 2014,True,122 min,,The Congress,movie,http://drafthousefilms.com/film/the-congress,"Stanislaw Lem (novel), Ari Folman (screenplay)",2013,tt1821641,6.5,"15,805",,
283,"Joseph Gordon-Levitt, Scarlett Johansson, Julianne Moore, Tony Danza",2 wins & 27 nominations.,N/A,USA,31 Dec 2013,Joseph Gordon-Levitt,,,"Comedy, Drama, Romance",English,66,"A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.","https://m.media-amazon.com/images/M/MV5BMTQxNTc3NDM2MF5BMl5BanBnXkFtZTcwNzQ5NTQ3OQ@@._V1._CR28,28.649993896484375,1271,1991.0000305175781_SX89_AL_.jpg_V1_SX300.jpg",Relativity Media,R,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",27 Sep 2013,True,90 min,,Don Jon,movie,http://www.facebook.com/DonJonMovie?fref=ts,Joseph Gordon-Levitt,2013,tt2229499,6.6,"214,560",,
284,"Sean Penn, Holt McCallany, Wade Williams, James Landry Hébert",5 nominations.,"$45,996,718",USA,23 Apr 2013,Ruben Fleischer,,,"Action, Crime, Drama, Thriller",English,40,"It's 1949 Los Angeles, the city is run by gangsters and a malicious mobster, Mickey Cohen. Determined to end the corruption, John O'Mara assembles a team of cops, ready to take down the ruthless leader and restore peace to the city.",https://m.media-amazon.com/images/M/MV5BMTcwMjAyMTUzMl5BMl5BanBnXkFtZTcwODgxNzk1OA@@._V1_SX300.jpg,Warner Bros.,R,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",11 Jan 2013,True,113 min,,Gangster Squad,movie,http://gangstersquad.warnerbros.com/,"Will Beall, Paul Lieberman (book)",2013,tt1321870,6.7,"194,290",,
285,"Danielle C. Ryan, Richard McWilliams, Paul D. Hunt, James C. Morris",2 wins.,N/A,USA,N/A,John Lyde,,,"Action, Adventure, Fantasy",English,N/A,"A secret cabal, The Shadow, works to bring about the return of Goth Azul - the Undead God - in the rich world of SAGA, populated by elves, orcs, dwarves and dragons.",https://m.media-amazon.com/images/M/MV5BMjE0OTcxODI2NV5BMl5BanBnXkFtZTcwMjc3NTg3OA@@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",02 Apr 2014,True,111 min,,SAGA: Curse of the Shadow,movie,N/A,"Jason Faller, Kynan Griffin",2013,tt2250234,5.0,"3,076",,
